Model,Best_Params,Best_MSE_CV,Best_MAE_CV,Test_MAE,Test_MSE,Test_RMSE,Test_R2,Test_MAPE,Training_Time
LinearRegression,{},973.7151400524151,19.81581196390613,18.379546572880233,697.1758487930784,26.40408772885514,0.9970867878715903,58426587784315.11,1.5247364044189453
Lasso,{'alpha': 0.001},973.7108609084783,19.816103553426412,18.379570702834048,697.1743308230272,26.404058983857524,0.997086794214565,58418240605047.65,1.2093968391418457
ElasticNet,"{'alpha': 0.001, 'l1_ratio': 0.9}",973.7108618728569,19.816103760241536,18.379572451855555,697.1743382873486,26.404059125205514,0.9970867941833748,58418796430990.96,0.23539257049560547
Ridge,{'alpha': 0.001},973.7151403300635,19.81581199179537,18.379546568995707,697.1758469998921,26.404087694898532,0.9970867878790833,58426587312548.95,0.07152414321899414
KernelRidge,"{'alpha': 0.01, 'gamma': 1, 'kernel': 'linear'}",973.2903607642395,19.794499170653765,18.39360938048749,697.3646745311286,26.40766317815964,0.997085998846223,63394999503227.32,0.4441242218017578
SGDRegressor,"{'alpha': 0.01, 'loss': 'huber'}",48849.096701109906,143.5756265138715,134.91751043144725,34916.063381916094,186.85840463280235,0.8541000817848073,62977936040327.85,0.20898914337158203
BayesianRidge,"{'alpha_1': 0.01, 'alpha_2': 1e-06, 'lambda_1': 1e-06, 'lambda_2': 0.01}",976.3488735912948,19.89275573747034,18.38438916456983,692.885584346943,26.322719926841582,0.9971047151283079,57021404063495.63,0.4551117420196533
GaussianProcess,"{'alpha': 1e-05, 'kernel': Matern(length_scale=1, nu=1.5), 'n_restarts_optimizer': 3}",6911.018153538202,38.79029136239136,32.87028279250732,4325.726759462546,65.77025740760443,0.9819245608096321,56899232344670.89,8.041636943817139
RandomForest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",3502.02284592703,36.78644223166138,31.930867130714457,2220.6906820531713,47.124204842662024,0.9907206438094449,82315435911051.89,6.413724660873413
SVR,"{'C': 1, 'loss': 'squared_epsilon_insensitive'}",981.8732930175829,20.026757852119523,18.90082701434196,695.874460541707,26.379432528803704,0.9970922258397074,64957619951121.85,0.15098977088928223
